Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
8. Valby;44. 8. Syd;A;Socialdemokratiet;Partiliste;501
8. Valby;44. 8. Syd;A;Socialdemokratiet;Emilla Møller;9
8. Valby;44. 8. Syd;A;Socialdemokratiet;Yildiz Akdogan;12
8. Valby;44. 8. Syd;A;Socialdemokratiet;Sophie Hæstorp Andersen;27
8. Valby;44. 8. Syd;A;Socialdemokratiet;Ida Auken;136
8. Valby;44. 8. Syd;A;Socialdemokratiet;Stig Ekman;1
8. Valby;44. 8. Syd;A;Socialdemokratiet;Jarl Feyling;0
8. Valby;44. 8. Syd;A;Socialdemokratiet;Camilla Hoffmann;2
8. Valby;44. 8. Syd;A;Socialdemokratiet;Peter Hummelgaard;75
8. Valby;44. 8. Syd;A;Socialdemokratiet;Erik Jensen;3
8. Valby;44. 8. Syd;A;Socialdemokratiet;Asbjørn Reissmann;6
8. Valby;44. 8. Syd;A;Socialdemokratiet;Mette Reissmann;28
8. Valby;44. 8. Syd;A;Socialdemokratiet;Marcus Vesterager;9
8. Valby;44. 8. Syd;B;Radikale Venstre;Partiliste;303
8. Valby;44. 8. Syd;B;Radikale Venstre;Marianne Mortensen;12
8. Valby;44. 8. Syd;B;Radikale Venstre;Samira Nawa;96
8. Valby;44. 8. Syd;B;Radikale Venstre;Thomas Rohden;30
8. Valby;44. 8. Syd;B;Radikale Venstre;Frederik Rosberg;9
8. Valby;44. 8. Syd;B;Radikale Venstre;Magnus Georg Jensen;37
8. Valby;44. 8. Syd;B;Radikale Venstre;Anne-Sofie Sadolin;10
8. Valby;44. 8. Syd;B;Radikale Venstre;Maria Georgi Sloth;14
8. Valby;44. 8. Syd;B;Radikale Venstre;Thomas Markmann;4
8. Valby;44. 8. Syd;B;Radikale Venstre;Emil Moselund;8
8. Valby;44. 8. Syd;B;Radikale Venstre;Helene Langager;10
8. Valby;44. 8. Syd;B;Radikale Venstre;Mikkel Senna Odoom;3
8. Valby;44. 8. Syd;B;Radikale Venstre;Julie Herdal;2
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Partiliste;281
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Rasmus Bjergegaard;20
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Lasse Vogel Andersen;3
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Pernille Birch;13
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Helle Bonnesen;23
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Nikolaj Bøgh;5
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Line Ervolder;10
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Helene Fagerhøj;34
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Carina Høedt;7
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Anders Havelund Krøyer;3
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Niels Peder Ravn;2
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Anders Storgaard;24
8. Valby;44. 8. Syd;C;Det Konservative Folkeparti;Mia Tang;6
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Partiliste;542
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Lisbeth Bech-Nielsen;50
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Carl Valentin;37
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Nanna Bonde;43
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Sadek Al-Amood;37
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Halime Oguz;23
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Kasper Nordborg Kiær;13
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Rune Palm;15
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Cecilie Louise Balbay Holdt;15
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Mikkel Sammy Christensen;7
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Morten Bering;0
8. Valby;44. 8. Syd;F;SF - Socialistisk Folkeparti;Bjarke Bisgaard Yolal;4
8. Valby;44. 8. Syd;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;36
